name,description,website
ThoughtWorks,"ThoughtWorks es una compañía global de consultoría de software, con el objetivo de tener un impacto positivo en el mundo a través de la tecnología. Nuestra comunidad de tecnologistas piensa de forma disruptiva para entregar soluciones pragmáticas para nuestros clientes incluso ante los desafíos más complejos. Somos mentes curiosas que nos unimos a equipos colaborativos e inclusivos para romper límites. Somos libres de ser nosotros mismos y dejar nuestra marca en la tecnología.Nuestros desarrolladores están contribuyendo con código a grandes compañías y proyectos de Open Source hace más de 25 años. También escriben libros, son speakers en conferencias y ayudan a impulsar la evolución en el desarrollo de software, cambiando compañías e industrias en su camino.",https://www.thoughtworks.com/
Juju,None,http://www.juju.com
MZZO CHILE S.A,"Mzzo, es una empresa dedicada a la innovación, orientada al rubro del desarrollo web, pantallas, aplicaciones y contenido. En MZZO destaca el ambiente laboral, la buena onda, la flexibilidad ante cualquier eventualidad, somos un equipo joven (28-45) y tenemos proyectos de distintos tipos y tecnologías. Existe una cultura flexible de trabajo, que permite orientar los resultados al cumplimiento de metas y proyectos. Lo mas importante es el compromiso y el respeto en el equipo. Si tienes ganas puedes desarrollarte y hacer carrera al interior de la organización. ",http://www.mzzo.cl
Agencia Imaginato,None,http://www.imaginato.cl
Quality & Knowledge,None,http://qacg.com/
Achutar,None,www.achutar.com
Fundación Epistemonikos,"Somos Fundación Epistemonikos, una organización sin fines de lucro dedicada a promover el uso de evidencia científica en la toma de decisiones y creación de políticas públicas en medicina y salud. Creamos en 2012 la base de datos Epistemonikos, hoy la más grande en evidencia de salud, y la mantenemos gratuitamente a través de nuestra Fundación.Junto a nuestro equipo de desarrolladores e investigadores, generamos herramientas tecnológicas que permiten acelerar la búsqueda y selección de evidencia, para así facilitar su acceso a quienes deben tomar decisiones que impactan en la calidad de vida de las personas.Actualmente trabajamos con grandes organizaciones a nivel nacional y mundial tales como el Ministerio de Salud de Chile, la Organización Panamericana de la Salud, el Instituto de Salud Pública de Noruega, the Cochrane Library, entre muchas otras.",https://www.epistemonikos.cl/
ProfeJOBS,"En ProfeJOBS estamos revolucionando el trabajo de los profesores de Latam, y con ello aportando a mejorar la calidad de la Educación en el continente.Somos un equipo joven, que trabaja en marco ágil. Nuestro producto combina la mirada comercial y la pasión educacional, con la tecnología y el diseño, para construir una experiencia sin fricciones para colegios y profesores.Nuestra cultura de trabajo es muy horizontal, y creemos que la motivación es el combustible para el crecimiento de ProfeJOBS!",https://profejobs.cl/
Platanus,None,http://platan.us
WORLDCOB,None,https://www.worldcob.org
Fundación Caupolicán Pardo,None,http://www.fundacioncp.cl
Educatina,None,http://www.educatina.com
Vinko,"VINKO EN UN TWEETMuchos equipos de trabajo pierden tiempo gestionando sus procesos administrativos internos. En Vinko tenemos softwares autoadministrables que digitalizan estos procesos y que se habilitanen sólo 1 día, y con esto les ahorramos todo ese tiempo que antes perdían para que lo puedan usar en tareas más valiosas.QUÉ PRODUCTOS TENEMOS Y EN QUÉ ESTAMOS HOYTenemos dos softwares —vForm y vTrack— y cada uno de ellos digitaliza un proceso administrativo distinto. vForm gestiona procesos tipo postulación —becas, fondos concursables, premios— y luego de apoyar a más de 90 proyectos y 115.000 usuarios en Chile está comenzando su expansión hacia Latinoamérica. vTrack gestiona procesos tipo seguimiento —personas, proyectos, productos— y a pocas semanas de su comercialización ya ayuda a cinco fundaciones a monitorear sus programas sociales y beneficiarios.",https://www.vinkodigital.com
